code_system,code,display,resource_count,value_type,observed_units
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224038,Impaired Skin Treatment #1,303,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224040,Incision Closure #1,773,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224041,Incision Drainage #1,499,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224042,Incision Dressing #1,174,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224043,Incision Cleansing #1,35,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224054,Braden Sensory Perception,1662,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224055,Braden Moisture,1659,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224056,Braden Activity,1659,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224057,Braden Mobility,1659,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224058,Braden Nutrition,1656,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224059,Braden Friction/Shear,1656,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224072,Education Learner,1013,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224073,Education Topic,3497,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224075,Education Readiness,260,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224076,Education Barrier,1215,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224077,Education Method,1078,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224079,Education Response,997,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224080,Head of Bed,5124,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224082,Turn,5045,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224084,Activity,2379,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224085,Assistance Device,112,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224086,Activity Tolerance,4863,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224087,Therapeutic Bed,3346,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224088,Pressure Reducing Device,2163,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224089,Anti Embolic Device,3196,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224090,Knee Immobilizer Status,36,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224091,Continuous Pressure Machine Status,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224092,Range of Motion Location,200,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224093,Position,4742,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224101,Chest PT R/L,56,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224105,Warming Device,267,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224106,Cooling Device,235,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224109,Cervical Collar Type,315,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224110,Cervical Collar Status,293,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224114,PT Splint Location #1,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224119,22 Gauge Site Appear,23,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224121,22 Gauge Reason Discontinued,11,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224144,Blood Flow (ml/min),435,valueQuantity,ml/min [ml/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224145,Heparin Dose (per hour),217,valueQuantity,units [units]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224146,System Integrity,532,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224149,Access Pressure,426,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224150,Filter Pressure,426,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224151,Effluent Pressure,425,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224152,Return Pressure,425,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224153,Replacement Rate,440,valueQuantity,ml/hr [ml/hr]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224154,Dialysate Rate,440,valueQuantity,ml/hr [ml/hr]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224161,Resp Alarm - High,1187,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224162,Resp Alarm - Low,1187,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224167,Manual Blood Pressure Systolic Left,3,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224168,Parameters Checked,2970,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224169,MDI #1 Puff,73,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224170,MDI #1 Drug,117,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224172,MDI #2 Puff,33,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224173,MDI #2 Drug,49,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224188,PICC Line Site Appear,813,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224191,Hourly Patient Fluid Removal,449,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224192,Pulsus Paradoxus,4,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224226,Impaired Skin Wound Base #1,568,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224259,Impaired Skin Drainage #1,429,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224281,Multi Lumen Site Appear,796,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224283,Multi Lumen Waveform Appear,586,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224289,Arterial line Site Appear,1110,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224291,Arterial line Waveform Appear,988,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224297,Cordis/Introducer Site Appear,104,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224308,Capillary Refill L,1501,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224309,Assisted Systole,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224310,Augmented Diastole,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224311,BAEDP,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224322,IABP Mean,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224327,PCA medication,114,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224328,PCA dose,111,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224329,PCA lockout (min),109,valueQuantity,min [min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224330,PCA 1 hour limit,109,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224331,PCA basal rate (mL/hour),92,valueQuantity,ml/hr [ml/hr]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224332,PCA inject,83,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224359,QTc,14,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224366,Epidural Infusion Rate (mL/hr),83,valueQuantity,ml/hr [ml/hr]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224367,Epidural Total Dose (mL),16,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224368,Epidural Medication,80,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224369,Sputum Consistency,672,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224370,Sputum Color,684,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224372,Sputum Source,762,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224373,Sputum Amount,778,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224375,Cont Neb - Med,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224379,PCA cleared,81,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224389,Heart Sounds,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224390,Temporary Atrial Sens,68,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224391,ETT Mark (location),271,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224404,ART Lumen Volume,119,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224406,VEN Lumen Volume,119,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224409,Pain Level Response,762,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224409,Pain Level Response,483,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224410,PCA bolus,41,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224411,Epidural Bolus (mL),7,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224413,TOF Response,26,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224414,TOF Twitch,19,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224415,ETT Mark (cm),1144,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224417,Cuff Pressure,265,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224418,Cuff Volume (mL),1,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224419,Negative Insp. Force,18,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224420,Vital Cap,7,valueQuantity,Liters [Liters]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224421,Spont Vt,93,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224422,Spont RR,93,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224423,CT #2 Crepitus,32,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224424,CT #2 Drainage,37,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224425,CT #2 Dressing,39,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224426,CT #2 Fluctuate,36,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224427,CT #2 Suction Amount,64,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224428,CT #3 Crepitus,14,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224430,CT #3 Drainage,13,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224432,CT #3 Dressing,14,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224434,CT #3 Fluctuate,12,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224436,CT #3 Suction Amount,19,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224438,Chest Tube Site # 2,100,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224439,Chest Tube Site #3,38,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224440,Chest Tube Site #4,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224441,GI #2 Intub Site,88,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224445,GI #2 Tube Drainage,4,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224456,PT Splint Location #2,1,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224561,Impaired Skin Type #1,245,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224562,Impaired Skin Length #1,177,valueQuantity,cm [cm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224563,Impaired Skin Depth #1,51,valueQuantity,cm [cm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224564,Impaired Skin Odor #1,475,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224565,Surrounding Tissue #1,584,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224631,Pressure Ulcer Stage #1,40,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224631,Pressure Ulcer Stage #1,60,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224632,Tunneling Present #1,109,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224633,Undermining Present #1,109,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224639,Daily Weight,441,valueQuantity,kg [kg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224640,Service,173,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224641,Alarms On,3020,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224642,Temperature Site,3794,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224643,Manual Blood Pressure Diastolic Left,3,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224645,Orthostatic BPs lying,1,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224646,Orthostatic BPs sitting,1,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224647,Orthostatic HR standing,1,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224650,Ectopy Type 1,11044,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224651,Ectopy Frequency 1,1247,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224652,Unassisted Systole,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224654,PAEDP,38,valueQuantity,mmHg [mmHg]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224661,Baseline Current/mA,10,valueQuantity,mA [mA]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224662,Current Used/mA,23,valueQuantity,mA [mA]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224663,PCA attempt,83,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224665,PCA total dose,83,valueQuantity,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224684,Tidal Volume (set),769,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224685,Tidal Volume (observed),1331,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224686,Tidal Volume (spontaneous),661,valueQuantity,mL [mL]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224687,Minute Volume,1359,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224688,Respiratory Rate (Set),801,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224689,Respiratory Rate (spontaneous),1314,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224690,Respiratory Rate (Total),1331,valueQuantity,insp/min [insp/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224691,Flow Rate (L/min),330,valueQuantity,L/min [L/min]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224692,Flow Pattern,1237,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224695,Peak Insp. Pressure,1319,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224696,Plateau Pressure,510,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224697,Mean Airway Pressure,1342,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224700,Total PEEP Level,490,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224701,PSV Level,698,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224702,PCV Level,17,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224705,P High (APRV),4,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224706,P Low (APRV),4,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224707,T High (APRV),4,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224709,T Low (APRV),4,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224711,Recruitment Duration,1,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224712,Recruitment Mode,2,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224713,Circuit Changed,4,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224715,SBT Started,131,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224716,SBT Stopped,19,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224717,SBT Successfully Completed,95,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224730,Corneal Reflex Right,73,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224731,Corneal Reflex Left,73,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224733,Pupil Size Left,2545,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224735,Flow Rate (variable/fixed),1157,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224738,Inspiratory Time,740,valueQuantity,sec [sec]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224740,RSBI Deferred,116,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224746,Transpulmonary Pressure (Exp. Hold),13,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224747,Transpulmonary Pressure (Insp. Hold),13,valueQuantity,cmH2O [cmH2O]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224751,Temporary Pacemaker Rate,114,valueQuantity,bpm [bpm]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224752,Temporary Atrial Sens Threshold mV,48,valueQuantity,mV [mV]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224753,Temporary Atrial Sens Setting mV,59,valueQuantity,mV [mV]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224754,Temporary Atrial Stim Threshold mA,49,valueQuantity,mA [mA]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224755,Temporary Atrial Stim Setting mA,57,valueQuantity,mA [mA]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224756,Response,245,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224758,RUE Sensation,62,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224759,LUE Sensation,61,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224762,LLE Sensation,61,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224767,RUE Temp,1730,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224769,LUE Temp,1730,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224771,RLE Temp,1772,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224773,LLE Temp,1755,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224775,CT #1 Leak,278,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224777,CT #2 Leak,33,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224779,CT #3 Leak,12,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224785,GI #1 Tube Type,1243,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224786,GI #1 Tube Status,1194,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224788,GI #2 Tube Type,88,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224789,GI #2 Tube Status,84,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224794,Stool Color,683,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224796,Ostomy,159,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224797,Ostomy Appearance,97,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224800,AV Fistula R Bruit,3,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224801,AV Fistula R Thrill,3,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224803,AV Fistula L Bruit,6,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224804,AV Fistula L Thrill,6,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224806,CT #1 Suction Type,335,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224808,CT #2 Suction Type,64,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224810,CT #3 Suction Type,19,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224828,Arterial Base Excess,623,valueQuantity,mEq/L [mEq/L]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224829,Trach Tube Type,93,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224830,Trach Tube Manufacturer,68,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224831,Trach Tube Size (I.D.),68,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224832,ETT Type,1140,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224833,SBT Deferred,40,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224834,Temporary Ventricular Sens,59,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224835,Temporary Ventricular Capture,56,valueString,
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224837,Temporary Ventricular Sens Setting mV,32,valueQuantity,mV [mV]
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,224838,Temporary Ventricular Stim Setting mA,30,valueQuantity,mA [mA]
